timestamp,gx,gy,gz,ax,ay,az,vx_gt,vy_gt,vz_gt
6.120000,-1.152598,-1.865768,-1.635861,-3.650417,4.008069,-7.077659,-0.231763,0.043644,-0.113734
6.140000,-1.755676,-1.919931,-1.173110,-2.740703,-1.709556,-3.250863,-0.219917,0.114046,-0.078655
6.160000,-1.098886,-1.872666,-0.287996,-5.957988,3.086488,-8.760462,-0.183129,0.067251,0.029373
6.180000,-0.580672,-1.834666,-0.244515,-7.188330,-2.102392,-8.205583,-0.204414,0.112849,0.023441
6.200000,1.314023,-1.721362,-0.729989,-6.267832,3.521708,-8.695322,-0.244071,0.052883,0.024661
6.220000,-0.842477,-2.331071,0.259276,-5.940565,6.101215,-5.840441,-0.259620,0.108135,0.012638
6.240000,-1.621795,-2.740642,0.654207,-8.476136,4.924552,-8.311569,-0.261997,0.214262,0.052943
6.260000,-2.390327,-3.082146,0.958214,7.335725,-9.646037,-0.331789,-0.307631,0.292133,0.037446
6.280000,-0.595534,-1.853857,0.915571,-7.275705,-0.059127,-8.585630,-0.028445,0.070828,0.172726
6.300000,0.938095,-1.256700,0.466206,-8.248929,0.139323,-9.145108,-0.036252,0.035148,0.136443
6.320000,1.212281,-0.955241,0.396253,-5.633551,-0.707653,-9.124104,-0.059935,0.002322,0.084925
6.340000,1.645393,-1.166309,-0.041282,-9.247940,-1.289805,-7.689484,-0.029164,-0.046045,0.031858
6.360000,2.368854,-0.357441,0.293237,-7.685559,-1.792534,-8.924586,-0.067799,-0.102144,0.005212
6.380000,2.006234,-0.403204,0.466111,-7.360035,-2.106533,-8.395311,-0.073419,-0.163784,-0.047191
6.400000,2.655735,-0.483431,0.148018,-3.840875,9.587293,4.982844,-0.071905,-0.227438,-0.088942
6.420000,0.825831,-0.415278,0.391825,-9.664428,5.666139,-5.024182,0.000673,-0.052418,0.136793
6.440000,0.411394,-0.754315,0.691488,-9.952407,4.860919,-6.929544,-0.042355,0.045838,0.161566
6.460000,0.166654,-1.483778,1.084554,-5.928070,1.187614,-7.991433,-0.090037,0.127938,0.146887
6.480000,0.306793,-2.456205,0.217138,-8.674461,-4.142864,-4.184096,-0.054592,0.135338,0.107512
6.500000,0.804437,-1.377257,0.874319,-9.893746,-1.073025,-6.185176,-0.069831,0.031793,0.137950
6.520000,1.462399,-0.962708,0.645513,-9.618870,-2.168386,-6.440294,-0.105857,-0.012122,0.122852
6.540000,1.123649,-0.875319,0.947743,-8.164688,-1.432728,-6.620543,-0.134635,-0.077532,0.100083
6.560000,1.244594,-1.359200,0.410195,-9.496630,-0.575019,-6.964037,-0.133160,-0.128180,0.071893
6.580000,1.889705,-1.925749,-0.312069,-8.285258,-2.541460,-4.511021,-0.156323,-0.162118,0.033503
6.600000,2.667858,-2.007660,-0.830897,-6.728374,1.984931,0.681965,-0.151797,-0.231782,0.038996
6.620000,1.054397,-2.364110,-0.991342,-12.186959,3.774840,-1.822724,-0.112350,-0.204732,0.142376
6.640000,0.815446,-2.831393,-0.712798,-10.558064,4.464695,0.329606,-0.177990,-0.132261,0.188177
6.660000,1.322819,-3.724411,-0.444325,-10.897299,-1.914072,-4.135046,-0.206989,-0.041754,0.267638
6.680000,0.003321,-4.970437,-0.238481,-6.645419,3.904125,0.903624,-0.238348,-0.074792,0.245371
6.700000,-0.510477,-4.729595,0.041714,-11.630926,1.443449,-0.129608,-0.180105,0.009254,0.307262
6.720000,-0.728918,-4.960216,0.418633,-11.667207,1.323767,0.693769,-0.218296,0.044328,0.330240
6.740000,-0.549509,-5.411766,0.827000,-9.743004,-1.196909,4.142267,-0.255633,0.075840,0.351208
6.760000,0.866825,-5.957762,-0.084844,9.258227,-2.568421,-17.903288,-0.254772,0.054360,0.420574
6.780000,0.092760,0.135352,0.167943,-0.159900,0.068000,-19.710810,0.123285,0.003424,0.026637
6.800000,-0.215614,0.057471,0.258335,-5.059424,2.911713,-9.042211,0.120087,0.004784,-0.171379
6.820000,-5.464830,-2.256521,0.769426,-1.447494,2.819452,-16.723938,0.018512,0.062598,-0.156024
6.840000,-6.769855,-2.880440,0.630262,-1.907143,7.198395,4.705612,-0.009606,0.115148,-0.294342
6.860000,-2.882961,-2.868403,-0.269727,-3.267968,4.235723,-14.160861,-0.037106,0.230269,-0.006454
6.880000,-3.134870,-2.606143,-0.538816,-4.814502,5.818314,-15.519494,-0.077329,0.274735,-0.099296
6.900000,-3.526533,-2.100610,-0.598588,-0.026515,-9.462616,13.759778,-0.137644,0.339670,-0.223796
